"AccId","AccName","AccHolder","Dr","Cr","Bal","BankName","Branch","City","Status","UserId","CreationDate","AtmNo","MGroupId","AccType","ReadOnly","BnkPId"
"1","Cash In Hand","","128656837.5","118705885.08","9950952.42","","","","false","1","Tue Dec 01 2009 05:00:00 GMT+0500 (Pakistan Standard Time)",,"1","1","true","0"
"2","Accounts Payable","","120671460.08","108542421","12129039.08","","","","false","1","Fri May 09 2014 14:23:00 GMT+0500 (Pakistan Standard Time)",,"2","0","true","0"
"3","Accounts Receivable","","856780","128631487.5","-127774707.5","","","","false","1","Fri May 09 2014 14:35:00 GMT+0500 (Pakistan Standard Time)",,"1","0","true","0"
"4","Inventory","","108542421","-56009","108598430","","","","false","1","Fri May 09 2014 14:37:00 GMT+0500 (Pakistan Standard Time)",,"1","0","true","0"
"5","Sale","","0","-150000","150000","","","","false","1","Fri May 09 2014 14:38:00 GMT+0500 (Pakistan Standard Time)",,"4","0","true","0"
"6","Salary","","0","0","0","","","","false","1","Fri May 09 2014 15:14:00 GMT+0500 (Pakistan Standard Time)",,"5","0","true","0"
"7","Capital","","0","0","0","","","","false","1","Fri May 09 2014 15:15:00 GMT+0500 (Pakistan Standard Time)",,"3","0","true","0"
"8","Scrap Income","","0","0","0","","","","false","1","Tue May 13 2014 19:36:00 GMT+0500 (Pakistan Standard Time)",,"4","2","true","0"
"9","Cost Of Goods Sold","","-48759","0","-48759","","","","false","1","Tue May 13 2014 19:38:00 GMT+0500 (Pakistan Standard Time)",,"5","0","true","0"
"10","Scrap","","0","0","0","","","","false","1","Tue May 13 2014 19:41:00 GMT+0500 (Pakistan Standard Time)",,"1","0","true","0"
"11","Bank Profit","","0","0","0","","","","false","1","Tue May 20 2014 22:23:00 GMT+0500 (Pakistan Standard Time)",,"4","2","true","0"
"12","Shop Rent","","0","0","0","","","","false","1","Tue May 20 2014 22:23:00 GMT+0500 (Pakistan Standard Time)",,"5","2","true","0"
"13","Sale Discount","","30","0","30","","","","false","1","Thu May 29 2014 14:53:00 GMT+0500 (Pakistan Standard Time)",,"4","0","true","0"
"14","Purchase Discount","","0","0","0","","","","false","1","Thu May 29 2014 14:55:00 GMT+0500 (Pakistan Standard Time)",,"4","0","true","0"
"15","Purchase Return","","0","2413465","-2413465","","","","false","1","Thu May 29 2014 15:31:00 GMT+0500 (Pakistan Standard Time)",,"5","0","true","0"
"16","Sales Return","","0","0","0","","","","false","1","Thu May 29 2014 15:36:00 GMT+0500 (Pakistan Standard Time)",,"4","0","true","0"
"17","Sale Return Stock","","0","0","0","","","","false","1","Sun Jun 15 2014 12:31:00 GMT+0500 (Pakistan Standard Time)",,"1","0","true","0"
"18","Opening Balance","","0","558890","-558890","","","","false","1","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",,"1","0","true","0"
"19","Shipment","","0","0","0","","","","false","1","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",,"5","2","true","0"
"20","Bank Charges","","0","0","0","","","","false","1","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",,"5","2","true","0"
"21","Repairing Income","","0","0","0","","","","false","1","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",,"4","0","true","0"
"22","Cost of Goods Used In Repairing","","-7250","0","-7250","","","","false","1","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",,"5","0","true","0"
"23","Repairing Labour","","0","0","0","","","","false","1","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",,"5","0","true","0"
"24","Job Profit","","0","0","0","","","","false","1","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",,"5","0","true","0"
"25","Cr Job Profit","","0","0","0","","","","false","1","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",,"5","0","true","0"
"26","Carry","","0","0","0","","","","false","1","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",,"5","2","false","0"
