"RightId","Rights"
"Add_User","Add new user"
"AddExp","Add Expense"
"AddIncome","Add/Edit Income"
"AddNewItem","Add New Item"
"AddPurch","Add Purchase"
"AddScrp","Declare Stock as Scrap/Damage/Lost"
"Bc","Barcode Printing"
"BillAmtRecev","Bill wise cash receive"
"BnkAcc","Add/edit Bank Account"
"ChangeLoc","Change Stock Location"
"ChngSupCus","Change Supplier/Customer After Bill"
"ClosDay","Close the day"
"CustomSPrice","Change sale price"
"DashB","View Dashboard"
"DAtDt_Db","Attach , Detach database"
"DaySum","Show day summary at opening/closing"
"DBk_Db","Back up database"
"DelDisEdt_User","Edit, Delete User"
"DelVch","Delete Pay/Receive Voucher"
"DiscSPrice","Discount in sale price"
"DispSet","Change display settings"
"DRes_Db","Restore database"
"EdtAllInv","Edit all invoices"
"EdtDelAcc","Edit/delete supplier/customer etc account"
"EdtInvo","Edit self made invoices"
"EdtItm","Edit/Delete Item Head"
"EdtJobOut","Undo repairing item out"
"EmpAtt","Attendance of Employees"
"EmpDet","Employee Management"
"GDiscount","Give Discount"
"HSaleRet","Returned Sale Adjustment"
"MoreCr","Sale More Than Allowed Credit"
"NewAcc","New supplier/customer etc account"
"NewHead","Add/Edit new incom/expense head"
"OpenBal","Add opening balance"
"OpnDay","Open new day"
"PayVch","Make payment voucher"
"PPDate","Set/View Payment Promise Date"
"PrepSalary","Prepare Salary"
"PurchRet","Purchase Return"
"QPrint","Allow to print the quotation"
"RecvCsh","Make receipt voucher"
"RefStmnt","View Referenced Statement"
"Repair","Add/Edit Repairing"
"SaleItem","Sale Items"
"SalRet","Sale Return"
"SetSalePrice","Set sale price"
"ShowCash","Show Cash in hand/at bank"
"SmsEmail","SMS/Email Management"
"StkTraIn","Stock Transfer In"
"StkTraOut","Stock Transfer Out"
"Transvch","Make bank to cash/cash to bank voucher"
"UndoSRet","Undo Sale Return"
"UseBnk","Pay/Receive in Bank"
"VewGenRpt","View General Reports"
"VewProf","View Bill Profit"
"VewStk","View Stock"
"ViewAcc","View Phone/Address of Persons"
"ViewCost","Allow to view cost price"
"ViewInvo","View sale invoices/returns"
"ViewRpt","View Reports"
"VSScrap","View/Sale Scrap"
