"CityId","City","ContId"
"1","Abbottabad","1"
"2","Ahmad Wal","1"
"3","Ahmadpur","1"
"4","Ahmadpur Lamma","1"
"5","Alipur","1"
"6","Allah Dad","1"
"7","Anambar","1"
"8","Ashewat","1"
"9","Atari","1"
"10","Attock","1"
"11","Babar","1"
"12","Babarkach","1"
"13","Babusar Pass","1"
"14","Baddo","1"
"15","Badin","1"
"16","Bagh","1"
"17","Bahawalnagar","1"
"18","Bahawalpur","1"
"19","Baltit","1"
"20","Bannu","1"
"21","Baran","1"
"22","Bari Doab","1"
"23","Barsat","1"
"24","Basal","1"
"25","Bela","1"
"26","Bellpat","1"
"27","Besal","1"
"28","Bhag","1"
"29","Bhakkar","1"
"30","Bhaun","1"
"31","Bhera","1"
"32","Bhimbar","1"
"33","Bholari","1"
"34","Bolan","1"
"35","Bostan","1"
"36","Bunji","1"
"37","Campbellpur","1"
"38","Chacharan","1"
"39","Chachro","1"
"40","Chaj Doab","1"
"41","Chak Amru","1"
"42","Chakar","1"
"43","Chakwal","1"
"44","Chaman","1"
"45","Chang","1"
"46","Charsadda","1"
"47","Chashma Barrage","1"
"48","Chenab","1"
"49","Chilam Chavki","1"
"50","Chilas","1"
"51","Chiniot","1"
"52","Chinji","1"
"53","Chishtian Mandi","1"
"54","Chitral","1"
"55","Chor","1"
"56","Chunian","1"
"57","Dadhar","1"
"58","Dadu","1"
"59","Dalbandin","1"
"60","Daraban","1"
"61","Darband","1"
"62","Dargai","1"
"63","Darkhana","1"
"64","Darkot Pass","1"
"65","Darra Pezu","1"
"66","Darya Khan","1"
"67","Dasht","1"
"68","Daska","1"
"69","Dattakhel","1"
"70","Daud Khel","1"
"71","Degh","1"
"72","Deosai Mts","1"
"73","Dera Ghazi Khan","1"
"74","Dera Ismail Khan","1"
"75","Derabugti","1"
"76","Derawar Fort","1"
"77","Dhak","1"
"78","Dinga","1"
"79","Dipalpur","1"
"80","Diplo","1"
"81","Dir","1"
"82","Disteghil Sar","1"
"83","Dobandi","1"
"84","Dogran","1"
"85","Dokri","1"
"86","Dra Khel","1"
"87","Duki","1"
"88","Dullewala","1"
"89","Eminabad","1"
"90","Faisalabad","1"
"91","Faqirwali","1"
"92","Fazilpur","1"
"93","Fort Abbas","1"
"94","Gadap","1"
"95","Gadra","1"
"96","Gaj","1"
"97","Gakuch","1"
"98","Gambat","1"
"99","Gamboli","1"
"100","Gandava","1"
"101","Gasherbrum","1"
"102","Ghizar","1"
"103","Ghotki","1"
"104","Gilgit","1"
"105","Gojra","1"
"106","Gokurt","1"
"107","Golra","1"
"108","Gomal Pass","1"
"109","Guddu Barrage","1"
"110","Gujar Khan","1"
"111","Gujranwala","1"
"112","Gujrat","1"
"113","Gulistan","1"
"114","Gumal","1"
"115","Gumbaz","1"
"116","Gunjyal","1"
"117","Gupis","1"
"118","Gwadar","1"
"119","Hab","1"
"120","Hafizabad","1"
"121","Harnai","1"
"122","Harrand","1"
"123","Harunabad","1"
"124","Havelian","1"
"125","Hyderabad","1"
"126","Isa Khel","1"
"127","Islam Headworks","1"
"128","Islamabad","1"
"129","Jacobabad","1"
"130","Jalalpur Jattan","1"
"131","Jampur","1"
"132","Jamrud","1"
"133","Jand","1"
"134","Jaranwala","1"
"135","Jhal","1"
"136","Jhang","1"
"137","Jhelum","1"
"138","Jhudo","1"
"139","Jinnah Barrage","1"
"140","Jungshahi","1"
"141","K2","1"
"142","K2","1"
"143","Kahuta","1"
"144","Kalabagh","1"
"145","Kalam","1"
"146","Kamalia","1"
"147","Kamoke","1"
"148","Kandhkot","1"
"149","Karachi","1"
"150","Karor","1"
"151","Kashmor","1"
"152","Kasur","1"
"153","Keti Bandar","1"
"154","Khair pur","1"
"155","Khanewal","1"
"156","Khanpur","1"
"157","Khanqah Deogran","1"
"158","Khapalu","1"
"159","Kharan Kalat","1"
"160","Kharian","1"
"161","Khost","1"
"162","Khushab","1"
"163","Khuzdar","1"
"164","Kohat","1"
"165","Kohlu","1"
"166","Kolachi","1"
"167","Kot Addu","1"
"168","Kot Moman","1"
"169","Kotli","1"
"170","Kotri","1"
"171","Kundian","1"
"172","Lahore","1"
"173","Lakki","1"
"174","Lala Musa","1"
"175","Landi Kotal","1"
"176","Larkana","1"
"177","Leiah","1"
"178","Liari","1"
"179","Lodhran","1"
"180","Loralai","1"
"181","Mach","1"
"182","MahMud Kot","1"
"183","Mailsi","1"
"184","Malakand","1"
"185","Malakwal","1"
"186","Manchhar Lake","1"
"187","Mandra","1"
"188","Mangla DaM","1"
"189","Mansehra","1"
"190","Mardan","1"
"191","Mari Indus","1"
"192","Masherbrum","1"
"193","Mastung","1"
"194","Matli","1"
"195","Mianwali","1"
"196","minchinabad","1"
"197","Mirpur kashmir","1"
"198","Mirpur Khas","1"
"199","Mitha Tiwana","1"
"200","Mohenjodaro","1"
"201","Moro","1"
"202","Multan","1"
"203","Murree","1"
"204","Musa Khel","1"
"205","Muzaffarabad","1"
"206","Muzaffargarh","1"
"207","Nagar Parkar","1"
"208","Nanga Prabat","1"
"209","Nankana Sahib","1"
"210","Narowal","1"
"211","Naushahra","1"
"212","Naushahro","1"
"213","Nawabshah","1"
"214","Nok Kundi","1"
"215","Nowshera","1"
"216","Nushki","1"
"217","Okara","1"
"218","Pakpattan","1"
"219","Palandri","1"
"220","Panjgur","1"
"221","Panjinad Barrage","1"
"222","Pano Akil","1"
"223","Parachinar","1"
"224","Pasni","1"
"225","Pasrur","1"
"226","Pattoki","1"
"227","Peshawar","1"
"228","Pindi Gheb","1"
"229","Piplan","1"
"230","Pishin","1"
"231","Pithoro","1"
"232","Punch","1"
"233","Qila Saifullah","1"
"234","Quetta","1"
"235","Rahimyar Khan","1"
"236","Rajanpur","1"
"237","Rakaposhi","1"
"238","Rakhni","1"
"239","Rasul","1"
"240","Ratodero","1"
"241","Rawalpindi","1"
"242","Reti","1"
"243","Rohri","1"
"244","Ruk","1"
"245","Sahiwal","1"
"246","Saidu","1"
"247","Sakrand","1"
"248","Sanghar","1"
"249","Sangla hill","1"
"250","Sargodha","1"
"251","Sariab","1"
"252","Sehwan","1"
"253","Sialkot","1"
"254","Spezand","1"
"255","Taftan","1"
"256","Tando Adam","1"
"257","Tank","1"
