"PersonId","Type","DayDt","SaleCrDr","CashSale","CreditSale","CshCrRecv","BnkToCsh","CshToBnk","BnkToBnk","Discount","RecvOwner","PaidOwner","NetCash","Purchase","CashRecv","BankRecv","CashPay","BankPay","SalaryDue","IncMarked","ExpMarked","PurchRet","SaleRet","CstSale","PurchDisc","CstRetSale","BiltyPayable","BiltyRecvable","StockIn","StockOut","RJobsEstAmt","RJTechLabour","JobProf","AdvRJob","RJobDisc","Carry","Hide"
"4","Purchase","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0","0","0","0","0","0","0","0","0","0","0","3420","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Sale","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","310110","0","310110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","300435","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Amount Transactions","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0","0","0","0","0","0","0","0","0","0","-42550","0","0","0","42550","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Purchase","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0","0","0","0","0","0","0","0","0","0","0","17500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Purchase","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0","0","0","0","0","0","0","0","0","0","0","27240","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Amount Transactions","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0","0","0","37315","0","0","0","0","0","0","11615","0","37315","0","25700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Purchase","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0","0","0","0","0","0","0","0","0","0","0","19200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Amount Transactions","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0","0","0","0","0","0","0","0","0","0","-150000","0","0","0","150000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Purchase","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0","0","0","0","0","0","0","0","0","0","0","59345","0","0","0","0","0","0","0","4350","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Amount Transactions","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0","0","0","0","0","0","0","0","0","0","-100000","0","0","0","100000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","Amount Transactions","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0","0","0","0","0","0","0","0","0","0","-10500","0","0","0","10500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","Purchase","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0","0","0","0","0","0","0","0","0","0","0","8600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","Purchase","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0","0","0","0","0","0","0","0","0","0","0","90550","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","Purchase","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0","0","0","0","0","0","0","0","0","0","0","37145","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","Amount Transactions","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0","0","0","0","0","0","0","0","0","0","-58500","0","0","0","58500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","Purchase","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0","0","0","0","0","0","0","0","0","0","0","25050","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","Amount Transactions","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0","0","0","0","0","0","0","0","0","0","-300000","0","0","0","300000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","Purchase","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0","0","0","0","0","0","0","0","0","0","0","299100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","Sale","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","15600","0","15600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14998","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","Purchase","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0","0","0","0","0","0","0","0","0","0","0","4850","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"81","Amount Transactions","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0","0","0","10000","0","0","0","0","0","0","10000","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"81","Sale","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","7170","10000","-2830","-10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6930","0","0","0","0","0","0","0","0","0","0","0","0","0"
"94","Amount Transactions","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0","0","0","0","0","0","0","0","0","0","-1620","0","0","0","1620","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"94","Purchase","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0","0","0","0","0","0","0","0","0","0","0","1620","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"97","Amount Transactions","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0","0","0","200000","0","0","0","0","0","0","200000","0","200000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"97","Sale","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","45780","0","45780","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43655","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1233","Purchase","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0","0","0","0","0","0","0","0","0","0","0","16000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1245","Amount Transactions","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0","0","0","0","0","0","0","0","0","0","-19500","0","0","0","19500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1245","Purchase","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0","0","0","0","0","0","0","0","0","0","0","19500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
