"ItemId","ItemName","Brand","Model","Detail","SaleLimit","IsActive","CatId","FxSalePrice","UKey","Unt","CStk","CCost","RetailPrice","ItmDisc","QtyBelow","MinPrice","QtyUpTo"
"\A76SIMBLUE","SIM TRAY","OPPO","A76 BLUE","","2","false","1","70",,"Pc","0","0","150","0","10","0","50"
"1","Incel","Iphone","13PROMAX SUNLONG INCELL","","2","false","1","5",,"Pc","0","0","5","0","10","0","50"
"1.4BTV730BT","Battery","Nokia","Nokia 1.4 K Logo","","2","false","1","1000",,"Pc","0","0","1250","0","10","0","50"
"10ABODYBLACK","Body","MI","10A BLACK","","2","false","1","1250",,"Pc","0","0","1400","0","10","0","50"
"10ABODYBLUE","Body","MI","10A BLUE","","2","false","1","1250",,"Pc","0","0","1400","0","10","0","50"
"10ABODYGREEN","Body","Mi","10A GREEN","","2","false","1","1250",,"Pc","0","0","1400","0","10","0","50"
"10CBODYBLACK","Body","MI","10C BLACK","","2","false","1","700",,"Pc","0","0","800","0","10","0","50"
"10CBODYBLUE","Body","MI","10C BLUE","","2","false","1","700",,"Pc","0","0","800","0","10","0","50"
"10TBAC5GBLUE","Back","Mi","10T 5G BLUE","","2","false","1","400",,"Pc","0","0","450","0","10","0","50"
"10TBAWHITE","Back","Mi","10T 4G WHITE","","2","false","1","400",,"Pc","0","0","450","0","10","0","50"
"11","Incel","Iphone","11PRO SUNLONG INCE","","2","false","1","3300",,"Pc","0","0","3500","0","10","0","50"
"11BABABLACK","Back","Iphone","11 BLACK","","2","false","1","270",,"Pc","0","0","400","0","10","0","50"
"11BACKBARED","Back","Iphone","11 RED","","2","false","1","300",,"Pc","0","0","350","0","10","0","50"
"11BAGREEN","Back","Iphone","11 GREEN","","2","false","1","270",,"Pc","0","0","400","0","10","0","50"
"11BASADA","Battery","Iphone","11 SADA","","2","false","1","1700",,"Pc","0","0","1800","0","10","0","50"
"11BTFALCON","Battery","Iphone","11 FALCON","","2","false","1","2000",,"Pc","0","0","2100","0","10","0","50"
