"DId","BillNo","ItemNo","ItemId","SRetId","SRetVch","ScrQty","CPrice","CTotal","SSoldQty","ScrDate","IsSold","Detail","ScrEntryBy","ScrFromStkNo"
"1","18","7","IPHONE8PLUSUCO","1","251005001","1","2800","2800","0","Sun Oct 05 2025 05:00:00 GMT+0500 (Pakistan Standard Time)","0",,"1","0"
"2","91","26","LcInX6812U","58","251102001","1","1885","1885","0","Sun Nov 02 2025 05:00:00 GMT+0500 (Pakistan Standard Time)","0",,"1","0"
"3","87","27","LcViv9UHXy85u","82","251107002","1","1500","1500","0","Mon Nov 10 2025 05:00:00 GMT+0500 (Pakistan Standard Time)","0",,"1","0"
"4","203","3","BaIp7GBTSUN","124","251215001","3","940","2820","0","Fri Jan 02 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0",,"1","0"
"5","417","6","BaIp7GBTFORCE","125","251215002","3","875","2625","0","Fri Jan 02 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0",,"1","0"
"6","641","2","BaIp7GBTFORCE","126","251215002","4","875","3500","0","Fri Jan 02 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0",,"1","0"
"7","656","2","BaIp7GBTFORCE","127","251215002","1","875","875","0","Fri Jan 02 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0",,"1","0"
"8","81","3","BaIp7GBTFALCON","128","251215002","3","1350","4050","0","Fri Jan 02 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0",,"1","0"
"9","78","17","BaIp7GBTAAA","129","251215002","3","950","2850","0","Fri Jan 02 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0",,"1","0"
"10","318","2","7GBTINTERLINK","130","251215002","2","1700","3400","0","Fri Jan 02 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0",,"1","0"
"11","129","9","ChInX680POT","151","251227001","4","200","800","0","Fri Jan 02 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0",,"1","0"
"12","807","5","BaIn49FXBTFALC","166","260106002","1","1375","1375","0","Wed Jan 14 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0",,"1","0"
"13","696","1","LcREDMI12UKING","169","260109001","4","1850","7400","0","Wed Jan 14 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0",,"1","0"
"14","284","12","LcMi10Cu12C","181","260109001","3","1600","4800","0","Wed Jan 14 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0",,"1","0"
"15","757","2","NOTE11UINCELL","268","260326001","2","1850","3700","0","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0",,"1","0"
"16","981","7","NOTE11UINCELL","269","260326001","4","1850","7400","0","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0",,"1","0"
"17","1150","12","NOTE11UINCELL","270","260326001","4","1850","7400","0","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0",,"1","0"
"18","1241","6","NOTE11UINCELL","271","260326001","2","1850","3700","0","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0",,"1","0"
"19","1348","2","NOTE11UINCELL","272","260326001","2","1680","3360","0","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0",,"1","0"
"20","1377","20","NOTE11UINCELL","273","260326001","2","1850","3700","0","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0",,"1","0"
"21","1404","1","NOTE11UINCELL","274","260326001","4","1950","7800","0","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0",,"1","0"
"22","1093","1","ChSaA71POTIC","292","260404001","1","700","700","0","Thu Apr 09 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","0",,"1","0"
