"RptId","RptName","RptDispName"
"1","CrGrafExpns","Graph of Expense"
"2","CrGrafPrfLos","Profit & Loss Graph"
"3","CrGrafPurch","Graph of Purchase"
"4","CrGrafSale","Graph of Sale"
"5","CrGrafStock","Graph of Stock"
"6","Crpt_BilVizPrft","Profit in Purchase Bills"
"7","Crpt_CusAllBills","Bills of Customers"
"8","Crpt_Payments","Payments to Suppliers"
"9","Crpt_Receiving","Receivings From Customers"
"10","Crpt_SupAllBills","Bills of Suppliers"
"11","Crpt_SupBil","Purchase Invoice"
"12","CrptAllAtt","Day Wise Attendance of Employees"
"13","CrptCBilVizProfit","Profit in Sale Bills"
"14","CrptCusRating","Customer Rating (Sale wise)"
"15","CrStmnt","Statement"
"16","CrptDayVchs","Payment/Receiving Vouchers"
"17","CrptEmpAtt","Attendance of Selected Employee"
"18","CrptEmpStmnt","Employee Statement"
"19","CrptExpens","Expense Report"
"20","CrptGeneral","Personal Data of Suppliers, Customers, Employees, Owners and Misc Accounts"
"21","CrptItems","Items, ItemId, Sale limit ets"
"22","CrptAccPay","Accounts Payable"
"23","CrptAccRecv","Accounts Receivable"
"24","CrptMiscStmnt","Misc Account Statement"
"25","CrProfitLoss","Profit & Loss Report"
"26","CrDayBook","Day Book"
"27","CrptProfitRatng","Items Rating (Profit wise)"
"28","CrptPurchase","Purchase Report"
"29","CrPurchRet","Purchase Return Voucher"
"30","CrptSalaryStmnt","Salary Statement"
"31","CrptSale","Sale Report"
"32","CrptSaleLimit","Items Less Than Stock Limit"
"33","CrptSaleRatng","Items Rating (Sale wise)"
"34","CrptStocks","Stock Status Report"
"35","CrptSupStmnt","Supplier Statement"
"36","CrptTransaction","Business Activities"
"37","CrBilty","Courier/Bilty"
